"JobId","Type","State","Status","StateDetails","JobPolicy","Client","JobSchedule","Kilobytes","MediaServer","KB/Sec","EndTime","StartTime","MasterServer","Has_Breached"
"170501","Backup","Done","0","","INDY_PRD_NDMP_03","INDVPRDHNAS02","Daily_Incr","768","indpprdwnbu01.msn00.oneamerica.com","191","7/5/2018 17:12:00","7/5/2018 17:00:00","INDPPRDWNBU02","NO"
"170500","Backup","Done","0","","INDY_PRD_NDMP_03","INDVPRDHNAS02","Daily_Incr","2816","indpprdwnbu01.msn00.oneamerica.com","0","7/5/2018 19:02:00","7/5/2018 17:00:00","INDPPRDWNBU02","NO"
"170499","Backup","Done","0","","INDY_PRD_NDMP_03","INDVPRDHNAS02","Daily_Incr","768","indpprdwnbu01.msn00.oneamerica.com","17","7/5/2018 17:06:00","7/5/2018 17:00:00","INDPPRDWNBU02","NO"
"170498","Backup","Done","0","","INDY_PRD_NDMP_03","INDVPRDHNAS02","Daily_Incr","768","indpprdwnbu01.msn00.oneamerica.com","0","7/5/2018 17:16:00","7/5/2018 17:00:00","INDPPRDWNBU02","NO"
"170497","Backup","Done","0","","INDY_PRD_NDMP_03","INDVPRDHNAS02","Daily_Incr","768","indpprdwnbu01.msn00.oneamerica.com","103","7/5/2018 17:02:00","7/5/2018 17:00:00","INDPPRDWNBU02","NO"
"170496","Backup","Done","0","","INDY_PRD_NDMP_03","INDVPRDHNAS02","Daily_Incr","768","indpprdwnbu01.msn00.oneamerica.com","3","7/5/2018 17:06:00","7/5/2018 17:00:00","INDPPRDWNBU02","NO"
"170495","Backup","Done","0","","INDY_PRD_NDMP_03","INDVPRDHNAS02","Daily_Incr","166656","indpprdwnbu01.msn00.oneamerica.com","1150","7/5/2018 17:04:00","7/5/2018 17:00:00","INDPPRDWNBU02","NO"
"170493","Backup","Done","0","","INDY_VADP_04","INDNSSSCN001","Daily_Incr","6028303","indpprdwnbu01.msn00.oneamerica.com","9267","7/5/2018 17:13:00","7/5/2018 17:00:00","INDPPRDWNBU02","NO"
"170492","Backup","Done","0","","INDY_P_CIFS_PST","INDVPRDHNAS01","Daily_Incr","768","indpprdwnbu04.msn00.oneamerica.com","6","7/5/2018 17:38:00","7/5/2018 17:00:00","INDPPRDWNBU02","NO"
"170491","Backup","Done","0","","INDY_P_CIFS_PST","INDVPRDHNAS01","Daily_Incr","768","indpprdwnbu04.msn00.oneamerica.com","162","7/5/2018 17:36:00","7/5/2018 17:00:00","INDPPRDWNBU02","NO"
"170490","Backup","Done","0","","INDY_P_CIFS_PST","INDVPRDHNAS01","Daily_Incr","768","indpprdwnbu04.msn00.oneamerica.com","0","7/5/2018 17:57:00","7/5/2018 17:00:00","INDPPRDWNBU02","NO"
"170489","Backup","Done","0","","INDY_P_CIFS_PST","INDVPRDHNAS01","Daily_Incr","768","indpprdwnbu04.msn00.oneamerica.com","39","7/5/2018 17:31:00","7/5/2018 17:00:00","INDPPRDWNBU02","NO"
"170488","Backup","Done","0","","INDY_P_CIFS_PST","INDVPRDHNAS01","Daily_Incr","768","indpprdwnbu04.msn00.oneamerica.com","225","7/5/2018 17:31:00","7/5/2018 17:00:00","INDPPRDWNBU02","NO"
"170487","Backup","Done","0","","INDY_P_CIFS_PST","INDVPRDHNAS01","Daily_Incr","768","indpprdwnbu04.msn00.oneamerica.com","0","7/5/2018 18:18:00","7/5/2018 17:00:00","INDPPRDWNBU02","NO"
