"JobId","Type","State","Status","StateDetails","JobPolicy","Client","JobSchedule","Kilobytes","MediaServer","KB/Sec","EndTime","StartTime","MasterServer","Has_Breached"
"72714","Import","Done","0","","SLP_CTG_HOU_CHD","","Default_24x7_Window","","chdpprddnbu02-bkp","","7/11/2018 19:37:00","7/11/2018 19:37:00","chdpprddnbu01-bkp","NO"
"72713","Image Cleanup","Done","0","","","","","","","","7/11/2018 19:37:00","7/11/2018 19:37:00","chdpprddnbu01-bkp","NO"
"72712","Import","Done","0","","SLP_CTG_HOU_CHD","","Default_24x7_Window","","chdpprddnbu02-bkp","","7/11/2018 19:27:00","7/11/2018 19:27:00","chdpprddnbu01-bkp","NO"
"72711","Backup","Done","0","","CHD_VADP_01","CHDVPRDWDCS02","Daily_Incr","4277952","chdpprddnbu08-bkp.msn00.oneamerica.com","7920","7/11/2018 19:11:00","7/11/2018 19:02:00","chdpprddnbu01-bkp","NO"
"72710","Backup","Done","0","","CHD_VADP_UCP","HTnM","Daily_Incr","27138464","chdpprddnbu09-bkp.msn00.oneamerica.com","13870","7/11/2018 19:35:00","7/11/2018 19:01:00","chdpprddnbu01-bkp","NO"
"72709","Backup","Done","0","","CHD_VADP_UCP","REPL","Daily_Incr","13703360","chdpprddnbu09-bkp.msn00.oneamerica.com","9077","7/11/2018 19:27:00","7/11/2018 19:01:00","chdpprddnbu01-bkp","NO"
"72708","Backup","Done","0","","CHD_VADP_UCP","vCenter","Daily_Incr","12847616","chdpprddnbu09-bkp.msn00.oneamerica.com","7257","7/11/2018 19:31:00","7/11/2018 19:01:00","chdpprddnbu01-bkp","NO"
"72707","Backup","Done","0","","CHD_VADP_UCP","SQL","Daily_Incr","3688288","chdpprddnbu09-bkp.msn00.oneamerica.com","2373","7/11/2018 19:28:00","7/11/2018 19:01:00","chdpprddnbu01-bkp","NO"
"72706","Backup","Done","0","","CHD_VADP_UCP","UCPManagement","Daily_Incr","3198784","chdpprddnbu09-bkp.msn00.oneamerica.com","2135","7/11/2018 19:27:00","7/11/2018 19:01:00","chdpprddnbu01-bkp","NO"
"72705","Backup","Done","0","","CHD_VADP_UCP","HCS","Daily_Incr","3506464","chdpprddnbu09-bkp.msn00.oneamerica.com","2243","7/11/2018 19:28:00","7/11/2018 19:01:00","chdpprddnbu01-bkp","NO"
"72703","Backup","Done","0","","CHD_VADP_SECURITY","CHDVPRDWSEP01","Daily_Incr","45996000","chdpprddnbu08-bkp.msn00.oneamerica.com","29881","7/11/2018 19:28:00","7/11/2018 19:01:00","chdpprddnbu01-bkp","NO"
"72704","Backup","Done","0","","CHD_VADP_UCP","WDS","Daily_Incr","603552","chdpprddnbu09-bkp.msn00.oneamerica.com","667","7/11/2018 19:17:00","7/11/2018 19:01:00","chdpprddnbu01-bkp","NO"
"72702","Backup","Done","0","","CHD_VADP_UCP","WSUS","Daily_Incr","622912","chdpprddnbu09-bkp.msn00.oneamerica.com","701","7/11/2018 19:17:00","7/11/2018 19:01:00","chdpprddnbu01-bkp","NO"
"72701","Backup","Done","0","","CHD_VADP_02","SWPBLUECOAT02","Daily_Incr","1870464","chdpprddnbu09-bkp.msn00.oneamerica.com","4195","7/11/2018 19:09:00","7/11/2018 19:01:00","chdpprddnbu01-bkp","NO"
"72700","Backup","Done","0","","CHD_VADP_01","CHDVPRDWLUA01","Daily_Incr","21175936","chdpprddnbu08-bkp.msn00.oneamerica.com","22590","7/11/2018 19:17:00","7/11/2018 19:01:00","chdpprddnbu01-bkp","NO"
"72699","Backup","Done","0","","CHD_VADP_01","CHDVPRDWJMP01","Daily_Incr","1185184","chdpprddnbu08-bkp.msn00.oneamerica.com","3406","7/11/2018 19:08:00","7/11/2018 19:01:00","chdpprddnbu01-bkp","NO"
"72698","Backup","Done","0","","CHD_VADP_01","CHDVPRDWDLP02","Daily_Incr","1272640","chdpprddnbu08-bkp.msn00.oneamerica.com","3514","7/11/2018 19:08:00","7/11/2018 19:01:00","chdpprddnbu01-bkp","NO"
"72695","Backup","Done","0","","CHD_VADP_01","CVPW00CTXPS01","Daily_Incr","1858528","chdpprddnbu08-bkp.msn00.oneamerica.com","4620","7/11/2018 19:08:00","7/11/2018 19:01:00","chdpprddnbu01-bkp","NO"
"72697","Backup","Done","0","","CHD_VADP_UCP","Workstation","Daily_Incr","561440","chdpprddnbu09-bkp.msn00.oneamerica.com","663","7/11/2018 19:16:00","7/11/2018 19:01:00","chdpprddnbu01-bkp","NO"
"72696","Backup","Done","0","","CHD_VADP_UCP","UCP-412-GA-ServiceVM-VMware-20160603","Daily_Incr","237664","chdpprddnbu09-bkp.msn00.oneamerica.com","321","7/11/2018 19:14:00","7/11/2018 19:01:00","chdpprddnbu01-bkp","NO"
"72694","Backup","Done","0","","CHD_VADP_01","CVPWECOMADS01","Daily_Incr","14846624","chdpprddnbu08-bkp.msn00.oneamerica.com","19193","7/11/2018 19:15:00","7/11/2018 19:01:00","chdpprddnbu01-bkp","NO"
"72693","Backup","Done","0","","CHD_VADP_01","CHDVPRDWSEP02","Daily_Incr","1299712","chdpprddnbu08-bkp.msn00.oneamerica.com","3457","7/11/2018 19:08:00","7/11/2018 19:01:00","chdpprddnbu01-bkp","NO"
"72692","Backup","Done","0","","CHD_VADP_02","CHDVPRDWADS01","Daily_Incr","3785280","chdpprddnbu09-bkp.msn00.oneamerica.com","7676","7/11/2018 19:10:00","7/11/2018 19:01:00","chdpprddnbu01-bkp","NO"
"72691","Backup","Done","0","","CHD_VADP_01","CHDVPRDWDCS01","Daily_Incr","1597152","chdpprddnbu08-bkp.msn00.oneamerica.com","4391","7/11/2018 19:08:00","7/11/2018 19:01:00","chdpprddnbu01-bkp","NO"
"72690","Backup","Done","0","","CHD_VADP_01","CVPW000DHCP01","Daily_Incr","1465568","chdpprddnbu08-bkp.msn00.oneamerica.com","4833","7/11/2018 19:07:00","7/11/2018 19:01:00","chdpprddnbu01-bkp","NO"
"72689","Backup","Done","0","","CHD_VADP_01","CVPW00CTXPS02","Daily_Incr","1354784","chdpprddnbu08-bkp.msn00.oneamerica.com","3621","7/11/2018 19:08:00","7/11/2018 19:01:00","chdpprddnbu01-bkp","NO"
"72688","Backup","Done","0","","CHD_VADP_01","CHDVPRDWDLP01","Daily_Incr","1113600","chdpprddnbu08-bkp.msn00.oneamerica.com","3879","7/11/2018 19:06:00","7/11/2018 19:01:00","chdpprddnbu01-bkp","NO"
"72687","Backup","Done","0","","CHD_VADP_01","CVPHDSHITRACK","Daily_Incr","2155520","chdpprddnbu08-bkp.msn00.oneamerica.com","5455","7/11/2018 19:08:00","7/11/2018 19:01:00","chdpprddnbu01-bkp","NO"
"72686","Backup","Done","0","","CHD_VADP_02","CVPLAVASMGR01","Daily_Incr","1288320","chdpprddnbu09-bkp.msn00.oneamerica.com","3743","7/11/2018 19:07:00","7/11/2018 19:01:00","chdpprddnbu01-bkp","NO"
"72685","Backup","Done","0","","CHD_VADP_01","CVPW000DHCP02","Daily_Incr","1105600","chdpprddnbu08-bkp.msn00.oneamerica.com","4000","7/11/2018 19:06:00","7/11/2018 19:01:00","chdpprddnbu01-bkp","NO"
"72684","Backup","Done","0","","CHD_VADP_01","CHDVPRDWDLP03","Daily_Incr","1067968","chdpprddnbu08-bkp.msn00.oneamerica.com","4008","7/11/2018 19:06:00","7/11/2018 19:01:00","chdpprddnbu01-bkp","NO"
"72683","Backup","Done","0","","CHD_VADP_DMZ_01","CVPWMSN02DC01","Daily_Incr","1248992","chdpprddnbu07-bkp.msn00.oneamerica.com","4006","7/11/2018 19:07:00","7/11/2018 19:00:00","chdpprddnbu01-bkp","NO"
"72682","Backup","Done","0","","CHD_VADP_UCP","UCPUtility","Daily_Incr","444096","chdpprddnbu09-bkp.msn00.oneamerica.com","513","7/11/2018 19:16:00","7/11/2018 19:00:00","chdpprddnbu01-bkp","NO"
"72681","Backup","Done","0","","CHD_VADP_02","CVPL00AVASM01","Daily_Incr","1669152","chdpprddnbu09-bkp.msn00.oneamerica.com","4215","7/11/2018 19:08:00","7/11/2018 19:00:00","chdpprddnbu01-bkp","NO"
"72680","Backup","Done","0","","CHD_VADP_02","CVPLAVAMSGS01","Daily_Incr","2802240","chdpprddnbu09-bkp.msn00.oneamerica.com","5802","7/11/2018 19:09:00","7/11/2018 19:00:00","chdpprddnbu01-bkp","NO"
"72679","Backup","Done","0","","CHD_VADP_SECURITY","CHDNSSSCN002","Daily_Incr","1047520","chdpprddnbu08-bkp.msn00.oneamerica.com","4606","7/11/2018 19:05:00","7/11/2018 19:00:00","chdpprddnbu01-bkp","NO"
"72678","Backup","Done","0","","CHD_VADP_SECURITY","CHDNSSSCN001","Daily_Incr","747328","chdpprddnbu08-bkp.msn00.oneamerica.com","5056","7/11/2018 19:04:00","7/11/2018 19:00:00","chdpprddnbu01-bkp","NO"
"72677","Backup","Done","0","","CHD_VADP_02","CVPL0AVAESS01","Daily_Incr","312864","chdpprddnbu09-bkp.msn00.oneamerica.com","1716","7/11/2018 19:04:00","7/11/2018 19:00:00","chdpprddnbu01-bkp","NO"
"72676","Backup","Done","0","","CHD_VADP_02","CVPLAVAMSGA01","Daily_Incr","667136","chdpprddnbu09-bkp.msn00.oneamerica.com","2102","7/11/2018 19:07:00","7/11/2018 19:00:00","chdpprddnbu01-bkp","NO"
"72675","Backup","Done","0","","CHD_VADP_01","CVPLAVYCAES01","Daily_Incr","443232","chdpprddnbu08-bkp.msn00.oneamerica.com","5415","7/11/2018 19:03:00","7/11/2018 19:00:00","chdpprddnbu01-bkp","NO"
"72674","Backup","Done","0","","CHD_VADP_01","CVPLAVYCMP002","Daily_Incr","572736","chdpprddnbu08-bkp.msn00.oneamerica.com","8457","7/11/2018 19:02:00","7/11/2018 19:00:00","chdpprddnbu01-bkp","NO"
"72672","Backup","Done","0","","CHD_VADP_01","CVPLAVYCEPM01","Daily_Incr","1912704","chdpprddnbu08-bkp.msn00.oneamerica.com","7621","7/11/2018 19:05:00","7/11/2018 19:00:00","chdpprddnbu01-bkp","NO"
"72673","Backup","Done","0","","CHD_VADP_02","CVPLLAYXCOR01","Daily_Incr","2889920","chdpprddnbu09-bkp.msn00.oneamerica.com","9394","7/11/2018 19:06:00","7/11/2018 19:00:00","chdpprddnbu01-bkp","NO"
"72671","Backup","Done","0","","CHD_VADP_02","CVPL00AVAUS01","Daily_Incr","282080","chdpprddnbu09-bkp.msn00.oneamerica.com","4058","7/11/2018 19:02:00","7/11/2018 19:00:00","chdpprddnbu01-bkp","NO"
"72670","Backup","Done","0","","CHD_VADP_01","CHDNSSSCN003","Daily_Incr","128","chdpprddnbu08-bkp.msn00.oneamerica.com","3","7/11/2018 19:02:00","7/11/2018 19:00:00","chdpprddnbu01-bkp","NO"
"72669","Backup","Done","0","","CHD_VADP_01","CVPLAVYCAP002","Daily_Incr","1449696","chdpprddnbu08-bkp.msn00.oneamerica.com","6725","7/11/2018 19:05:00","7/11/2018 19:00:00","chdpprddnbu01-bkp","NO"
