,JobId,Type,State,Status,StateDetails,JobPolicy,Client,JobSchedule,Kilobytes,MediaServer,KB/Sec,EndTime,StartTime,MasterServer,Has_Breached
0,170767,Backup,Done,1.0,,INDY_PRD_WIN_FS_03,MK-VRU2.msn00.oneamerica.com,Daily_Incr,18AA9915,indpprdwnbu04.msn00.oneamerica.com,3543.0,7/9/2018 17:09:00,7/9/2018 17:00:00,INDPPRDWNBU02,NO
1,170922,Replication,Done,0.0,,SLP_SLP8_MLY_NEW_OA31D_HO13M,,Default_24x7_Window,93BB93271,indpprdlnbu08.msn00.oneamerica.com,1483818.0,7/10/2018 03:15:00,7/10/2018 03:14:00,INDPPRDWNBU02,NO
2,170919,Replication,Done,0.0,,SLP_SLP8_MLY_NEW_OA31D_HO13M,,Default_24x7_Window,112202968,indpprdlnbu08.msn00.oneamerica.com,1221110.0,7/10/2018 03:16:00,7/10/2018 03:14:00,INDPPRDWNBU02,NO
3,170915,Replication,Done,0.0,,SLP_SLP8_MLY_NEW_OA31D_HO13M,,Default_24x7_Window,53741333,indpprdlnbu08.msn00.oneamerica.com,6512.0,7/10/2018 05:32:00,7/10/2018 03:14:00,INDPPRDWNBU02,NO
4,170913,Replication,Done,0.0,,SLP_SLP8_MLY_NEW_OA31D_HO13M,,Default_24x7_Window,75790881,indpprdlnbu08.msn00.oneamerica.com,16834.0,7/10/2018 04:29:00,7/10/2018 03:14:00,INDPPRDWNBU02,NO
5,170909,Replication,Done,0.0,,SLP_SLP8_MLY_NEW_OA31D_HO13M,,Default_24x7_Window,89751516,indpprdlnbu08.msn00.oneamerica.com,1449873.0,7/10/2018 03:15:00,7/10/2018 03:14:00,INDPPRDWNBU02,NO
6,170907,Replication,Done,0.0,,SLP_SLP8_MLY_NEW_OA31D_HO13M,,Default_24x7_Window,61656486,indpprdlnbu08.msn00.oneamerica.com,81996.0,7/10/2018 03:27:00,7/10/2018 03:14:00,INDPPRDWNBU02,NO
7,170904,Replication,Done,0.0,,SLP_SLP8_MLY_NEW_OA31D_HO13M,,Default_24x7_Window,102526916,indpprdlnbu08.msn00.oneamerica.com,6730.0,7/10/2018 05:53:00,7/10/2018 03:14:00,INDPPRDWNBU02,NO
8,170903,Replication,Done,0.0,,SLP_SLP8_MLY_NEW_OA31D_HO13M,,Default_24x7_Window,102649689,indpprdlnbu08.msn00.oneamerica.com,24.0,7/10/2018 05:19:00,7/10/2018 03:14:00,INDPPRDWNBU02,NO
9,170899,Image Cleanup,Done,0.0,,,,,,,,7/10/2018 03:03:00,7/10/2018 03:02:00,INDPPRDWNBU02,NO
10,170898,Backup,Done,0.0,,INDY_PRD_New_NDMP_03,INDVPRDHNAS02,Daily_Incr,13865472,indpprdwnbu04.msn00.oneamerica.com,858.0,7/9/2018 21:47:00,7/9/2018 17:17:00,INDPPRDWNBU02,NO
11,170897,Backup,Done,0.0,,INDY_VADP_01,SWPDHCP03,Daily_Incr,1475668,indpprdwnbu04.msn00.oneamerica.com,16715.0,7/9/2018 17:14:00,7/9/2018 17:12:00,INDPPRDWNBU02,NO
12,170896,Backup,Done,0.0,,INDY_VADP_02,SWTMKSRTPAS01,Daily_Incr,2943784,indpprdwnbu04.msn00.oneamerica.com,5100.0,7/9/2018 17:22:00,7/9/2018 17:12:00,INDPPRDWNBU02,NO
13,170895,Backup,Done,0.0,,INDY_VADP_01,SWPBLUECOAT03,Daily_Incr,4058109,indpprdwnbu04.msn00.oneamerica.com,5249.0,7/9/2018 17:25:00,7/9/2018 17:12:00,INDPPRDWNBU02,NO
14,170894,Backup,Done,0.0,,INDY_VADP_03,IVPWPISQL2K02,Daily_Incr,932242,indpprdwnbu01.msn00.oneamerica.com,4108.0,7/9/2018 17:12:00,7/9/2018 17:07:00,INDPPRDWNBU02,NO
15,170893,Backup,Done,0.0,,INDY_VADP_02,SWPCSR01,Daily_Incr,4082525,indpprdwnbu04.msn00.oneamerica.com,4350.0,7/9/2018 17:23:00,7/9/2018 17:07:00,INDPPRDWNBU02,NO
16,170892,Backup,Done,0.0,,INDY_VADP_05,IVPWMSN00DC15,Daily_Incr,5096661,indpprdwnbu01.msn00.oneamerica.com,9678.0,7/9/2018 17:12:00,7/9/2018 17:01:00,INDPPRDWNBU02,NO
17,170891,Backup,Done,0.0,,INDY_VADP_01,SWPBLUECOAT04,Daily_Incr,3652315,indpprdwnbu04.msn00.oneamerica.com,7489.0,7/9/2018 17:11:00,7/9/2018 17:01:00,INDPPRDWNBU02,NO
18,170890,Backup,Done,0.0,,INDY_VADP_05,IVPWMSN00DC16,Daily_Incr,5509995,indpprdwnbu01.msn00.oneamerica.com,11876.0,7/9/2018 17:11:00,7/9/2018 17:01:00,INDPPRDWNBU02,NO
19,170889,Backup,Done,0.0,,INDY_VADP_02,SWPPIOCR01,Daily_Incr,27786210,indpprdwnbu04.msn00.oneamerica.com,10858.0,7/9/2018 17:45:00,7/9/2018 17:01:00,INDPPRDWNBU02,NO
20,170888,Backup,Done,0.0,,INDY_VADP_01,IVPW00CTXPS02,Daily_Incr,2510471,indpprdwnbu04.msn00.oneamerica.com,18687.0,7/9/2018 17:05:00,7/9/2018 17:01:00,INDPPRDWNBU02,NO
21,170887,Backup,Done,0.0,,INDY_P_CIFS_PST,INDVPRDHNAS01,Daily_Incr,768,indpprdwnbu04.msn00.oneamerica.com,0.0,7/9/2018 17:55:00,7/9/2018 17:01:00,INDPPRDWNBU02,NO
22,170886,Backup,Done,0.0,,INDY_P_CIFS_PST,INDVPRDHNAS01,Daily_Incr,768,indpprdwnbu04.msn00.oneamerica.com,0.0,7/9/2018 18:16:00,7/9/2018 17:01:00,INDPPRDWNBU02,NO
23,170885,Backup,Done,0.0,,INDY_P_CIFS_PST,INDVPRDHNAS01,Daily_Incr,768,indpprdwnbu04.msn00.oneamerica.com,170.0,7/9/2018 17:30:00,7/9/2018 17:01:00,INDPPRDWNBU02,NO
24,170884,Backup,Done,0.0,,INDY_P_CIFS_PST,INDVPRDHNAS01,Daily_Incr,768,indpprdwnbu04.msn00.oneamerica.com,45.0,7/9/2018 17:30:00,7/9/2018 17:01:00,INDPPRDWNBU02,NO
25,170883,Backup,Done,0.0,,INDY_P_CIFS_PST,INDVPRDHNAS01,Daily_Incr,768,indpprdwnbu04.msn00.oneamerica.com,6.0,7/9/2018 17:31:00,7/9/2018 17:01:00,INDPPRDWNBU02,NO
26,170882,Backup,Done,0.0,,INDY_P_CIFS_PST,INDVPRDHNAS01,Daily_Incr,768,indpprdwnbu04.msn00.oneamerica.com,194.0,7/9/2018 17:29:00,7/9/2018 17:01:00,INDPPRDWNBU02,NO
27,170881,Backup,Done,0.0,,INDY_P_CIFS_PST,INDVPRDHNAS01,Daily_Incr,76214016,indpprdwnbu04.msn00.oneamerica.com,26996.0,7/9/2018 17:50:00,7/9/2018 17:01:00,INDPPRDWNBU02,NO
28,170880,Backup,Done,0.0,,INDY_PRD_NDMP_04_oamindDSICLCOM,INDVPRDHNAS01,Daily_Incr,1324032,indpprdwnbu01.msn00.oneamerica.com,97.0,7/9/2018 20:49:00,7/9/2018 17:01:00,INDPPRDWNBU02,NO
29,170879,Backup,Done,0.0,,INDY_PRD_NDMP_03_MACFS,INDVPRDHNAS02,Daily_Incr,768,indpprdwnbu04.msn00.oneamerica.com,7.0,7/9/2018 17:17:00,7/9/2018 17:01:00,INDPPRDWNBU02,NO
30,170878,Backup,Done,0.0,,INDY_PRD_NDMP_03_MACFS,INDVPRDHNAS02,Daily_Incr,768,indpprdwnbu04.msn00.oneamerica.com,0.0,7/9/2018 17:38:00,7/9/2018 17:01:00,INDPPRDWNBU02,NO
31,170877,Backup,Done,0.0,,INDY_PRD_NDMP_03_MACFS,INDVPRDHNAS02,Daily_Incr,768,indpprdwnbu04.msn00.oneamerica.com,1.0,7/9/2018 17:20:00,7/9/2018 17:01:00,INDPPRDWNBU02,NO
32,170876,Backup,Done,0.0,,INDY_PRD_NDMP_03_MACFS,INDVPRDHNAS02,Daily_Incr,768,indpprdwnbu04.msn00.oneamerica.com,0.0,7/9/2018 17:53:00,7/9/2018 17:01:00,INDPPRDWNBU02,NO
33,170875,Backup,Done,0.0,,INDY_VADP_01,SWPDPA01,Daily_Incr,6117981,indpprdwnbu04.msn00.oneamerica.com,21947.0,7/9/2018 17:07:00,7/9/2018 17:01:00,INDPPRDWNBU02,NO
34,170871,Backup,Done,0.0,,INDY_PRD_NDMP_03,INDVPRDHNAS02,Daily_Incr,768,indpprdwnbu01.msn00.oneamerica.com,2.0,7/9/2018 17:08:00,7/9/2018 17:01:00,INDPPRDWNBU02,NO
35,170874,Backup,Done,0.0,,INDY_PRD_NDMP_03_01,INDVPRDHNAS02,Daily_Incr,2560,indpprdwnbu01.msn00.oneamerica.com,1.0,7/9/2018 17:43:00,7/9/2018 17:01:00,INDPPRDWNBU02,NO
36,170873,Backup,Done,0.0,,INDY_PRD_NDMP_03_01,INDVPRDHNAS02,Daily_Incr,27136,indpprdwnbu01.msn00.oneamerica.com,11.0,7/9/2018 17:45:00,7/9/2018 17:01:00,INDPPRDWNBU02,NO
37,170872,Backup,Done,0.0,,INDY_PRD_NDMP_03_01,INDVPRDHNAS02,Daily_Incr,103220480,indpprdwnbu01.msn00.oneamerica.com,8254.0,7/9/2018 20:31:00,7/9/2018 17:01:00,INDPPRDWNBU02,NO
38,170870,Backup,Done,0.0,,INDY_PRD_NDMP_03,INDVPRDHNAS02,Daily_Incr,768,indpprdwnbu01.msn00.oneamerica.com,1.0,7/9/2018 17:15:00,7/9/2018 17:01:00,INDPPRDWNBU02,NO
39,170869,Backup,Done,0.0,,INDY_PRD_NDMP_03,INDVPRDHNAS02,Daily_Incr,768,indpprdwnbu01.msn00.oneamerica.com,17.0,7/9/2018 17:04:00,7/9/2018 17:01:00,INDPPRDWNBU02,NO
40,170868,Backup,Done,0.0,,INDY_PRD_NDMP_03,INDVPRDHNAS02,Daily_Incr,768,indpprdwnbu01.msn00.oneamerica.com,92.0,7/9/2018 17:03:00,7/9/2018 17:01:00,INDPPRDWNBU02,NO
41,170867,Backup,Done,0.0,,INDY_PRD_NDMP_03,INDVPRDHNAS02,Daily_Incr,768,indpprdwnbu01.msn00.oneamerica.com,114.0,7/9/2018 17:03:00,7/9/2018 17:01:00,INDPPRDWNBU02,NO
42,170866,Backup,Done,0.0,,INDY_PRD_NDMP_03,INDVPRDHNAS02,Daily_Incr,69888,indpprdwnbu01.msn00.oneamerica.com,10.0,7/9/2018 18:53:00,7/9/2018 17:01:00,INDPPRDWNBU02,NO
43,170865,Backup,Done,0.0,,INDY_PRD_NDMP_03,INDVPRDHNAS02,Daily_Incr,213504,indpprdwnbu01.msn00.oneamerica.com,1426.0,7/9/2018 17:05:00,7/9/2018 17:01:00,INDPPRDWNBU02,NO
44,170864,Backup,Done,0.0,,INDY_DEV_NFS_ORA_NDMP,INDVPRDHNAS02,Daily_Incr,768,indpprdwnbu04.msn00.oneamerica.com,125.0,7/9/2018 17:02:00,7/9/2018 17:01:00,INDPPRDWNBU02,NO
45,170863,Backup,Done,0.0,,INDY_VADP_03,INDVPRDWSRM01,Daily_Incr,2710805,indpprdwnbu01.msn00.oneamerica.com,7434.0,7/9/2018 17:08:00,7/9/2018 17:01:00,INDPPRDWNBU02,NO
46,170862,Backup,Done,0.0,,INDY_VADP_04,INDVPRDLASENSOR02,Daily_Incr,2673952,indpprdwnbu01.msn00.oneamerica.com,6709.0,7/9/2018 17:09:00,7/9/2018 17:00:00,INDPPRDWNBU02,NO
47,170861,Backup,Done,0.0,,INDY_VADP_04,INDVPRDLASENSOR01,Daily_Incr,778301517,indpprdwnbu01.msn00.oneamerica.com,55345.0,7/9/2018 20:58:00,7/9/2018 17:00:00,INDPPRDWNBU02,NO
48,170860,Backup,Done,0.0,,INDY_VADP_PC4377,PC4377,Daily_Incr,7695420,indpprdwnbu01.msn00.oneamerica.com,2478.0,7/9/2018 17:54:00,7/9/2018 17:00:00,INDPPRDWNBU02,NO
49,170859,Backup,Done,0.0,,INDY_VADP_03,IVDWMSSQLDB01,Daily_Incr,36623869,indpprdwnbu01.msn00.oneamerica.com,13464.0,7/9/2018 17:48:00,7/9/2018 17:00:00,INDPPRDWNBU02,NO
50,170858,Backup,Done,0.0,,INDY_VADP_04,INDNSSSCN001,Daily_Incr,10271026,indpprdwnbu01.msn00.oneamerica.com,12888.0,7/9/2018 17:15:00,7/9/2018 17:00:00,INDPPRDWNBU02,NO
51,170857,Backup,Done,0.0,,INDY_VADP_03,SWPRFAXAPP04,Daily_Incr,1953670,indpprdwnbu01.msn00.oneamerica.com,4014.0,7/9/2018 17:10:00,7/9/2018 17:00:00,INDPPRDWNBU02,NO
52,170856,Backup,Done,0.0,,INDY_VADP_03,SWPRFAXAPP03,Daily_Incr,2188448,indpprdwnbu01.msn00.oneamerica.com,3967.0,7/9/2018 17:11:00,7/9/2018 17:00:00,INDPPRDWNBU02,NO
53,170855,Backup,Done,0.0,,INDY_VADP_03,IVPWPRNTSRV02,Daily_Incr,3622152,indpprdwnbu01.msn00.oneamerica.com,7797.0,7/9/2018 17:10:00,7/9/2018 17:00:00,INDPPRDWNBU02,NO
54,170854,Backup,Done,0.0,,INDY_VADP_02,SWPPIADC01,Daily_Incr,1847735,indpprdwnbu04.msn00.oneamerica.com,6747.0,7/9/2018 17:06:00,7/9/2018 17:00:00,INDPPRDWNBU02,NO
